"X","species_name","species_code","family","habitat","guild","year","proportion_in_east","mean_longitude","mean_latitude","CEI_ssp2_2050","LEI_ssp2_2050","CEI_ssp5_2050","LEI_ssp5_2050","CEI_ssp2_2080","LEI_ssp2_2080","CEI_ssp5_2080","LEI_ssp5_2080"
176,"Indigo Bunting","indbun","Cardinalidae","Open Woodlands","Foliage Gleaner",2022,0.476,-84.99,37.248,2.699,0.32,3.261,0.272,2.596,0.376,4.077,0.4
177,"Louisiana Waterthrush","louwat","Parulidae","Riparian","Ground Forager",2022,0.477,-82.262,37.001,2.267,0.261,2.779,0.196,2.257,0.305,3.621,0.316
178,"Eastern Whip-poor-will","easwpw1","Caprimulgidae","Open Woodlands","Aerial Insectivore",2022,0.478,-82.339,39.728,2.597,0.187,3.161,0.145,2.498,0.213,4.095,0.223
179,"Pileated Woodpecker","pilwoo","Picidae","Forests","Bark Forager",2022,0.482,-82.567,37.012,2.522,0.276,3.128,0.228,2.508,0.321,3.851,0.338
180,"Blue Jay","blujay","Corvidae","Forests","Generalist",2022,0.487,-82.193,39.405,2.527,0.302,3.183,0.267,2.546,0.353,4.184,0.38
181,"White-breasted Nuthatch","whbnut","Sittidae","Forests","Bark Forager",2022,0.488,-82.369,40.267,2.584,0.297,3.273,0.272,2.631,0.346,4.446,0.382
182,"Northern Parula","norpar","Parulidae","Forests","Foliage Gleaner",2022,0.493,-81.913,36.521,2.411,0.281,3,0.24,2.407,0.325,3.677,0.347
183,"Kentucky Warbler","kenwar","Parulidae","Forests","Ground Forager",2022,0.505,-85.88,35.693,2.649,0.288,3.13,0.203,2.505,0.334,3.786,0.335
184,"Northern Cardinal","norcar","Cardinalidae","Open Woodlands","Ground Forager",2022,0.505,-83.729,36.558,2.544,0.357,3.071,0.307,2.472,0.42,3.702,0.445
185,"Yellow-throated Vireo","yetvir","Vireonidae","Open Woodlands","Foliage Gleaner",2022,0.516,-83.884,37.271,2.514,0.299,3.077,0.25,2.484,0.346,3.855,0.367
186,"Eastern Phoebe","easpho","Tyrannidae","Open Woodlands","Flycatcher",2022,0.517,-82.148,36.76,2.402,0.307,2.974,0.261,2.399,0.356,3.674,0.374
187,"Field Sparrow","fiespa","Passerellidae","Grasslands","Ground Forager",2022,0.53,-83.489,38.213,2.626,0.353,3.201,0.298,2.577,0.422,4.012,0.445
188,"Gray Catbird","grycat","Mimidae","Open Woodlands","Ground Forager",2022,0.534,-81.476,38.163,2.394,0.323,3.018,0.308,2.42,0.376,3.935,0.42
189,"White-eyed Vireo","whevir","Vireonidae","Scrub","Foliage Gleaner",2022,0.544,-84.632,33.729,2.537,0.312,2.979,0.245,2.41,0.363,3.283,0.373
190,"Great Crested Flycatcher","grcfly","Tyrannidae","Open Woodlands","Flycatcher",2022,0.549,-82.986,36.375,2.542,0.32,3.105,0.284,2.5,0.372,3.635,0.402
191,"Eastern Screech-Owl","easowl1","Strigidae","Forests","Mammal Hunter",2022,0.551,-82.359,37.796,2.371,0.326,2.957,0.288,2.384,0.382,3.817,0.411
192,"Chuck-will's-widow","chwwid","Caprimulgidae","Open Woodlands","Aerial Insectivore",2022,0.559,-83.613,32.9,2.495,0.272,2.924,0.203,2.343,0.318,2.97,0.323
193,"Eastern Bluebird","easblu","Turdidae","Grasslands","Ground Forager",2022,0.563,-82.69,37.29,2.446,0.35,2.987,0.294,2.392,0.414,3.595,0.436
194,"Common Grackle","comgra","Icteridae","Generalist","Ground Forager",2022,0.585,-81.65,37.974,2.312,0.358,2.786,0.319,2.2,0.443,3.3,0.489
195,"Scarlet Tanager","scatan","Cardinalidae","Forests","Foliage Gleaner",2022,0.59,-81.588,39.267,2.438,0.267,3.101,0.228,2.501,0.309,4.174,0.329
196,"Red-shouldered Hawk","reshaw","Accipitridae","Forests","Mammal Hunter",2022,0.594,-82.817,35.121,2.378,0.336,2.863,0.285,2.327,0.396,3.397,0.419
197,"Yellow-throated Warbler","yetwar","Parulidae","Forests","Bark Forager",2022,0.625,-83.365,34.936,2.35,0.275,2.781,0.218,2.262,0.32,3.271,0.336
198,"Hooded Warbler","hoowar","Parulidae","Forests","Foliage Gleaner",2022,0.635,-83.658,35.748,2.451,0.226,2.925,0.171,2.327,0.253,3.545,0.255
199,"Carolina Chickadee","carchi","Paridae","Forests","Foliage Gleaner",2022,0.642,-83.573,35.772,2.406,0.338,2.862,0.268,2.3,0.403,3.355,0.415
200,"Worm-eating Warbler","woewar1","Parulidae","Forests","Ground Forager",2022,0.649,-82.098,36.624,2.121,0.228,2.62,0.185,2.123,0.26,3.408,0.274
201,"Red-bellied Woodpecker","rebwoo","Picidae","Forests","Bark Forager",2022,0.66,-83.62,36.348,2.528,0.344,3.05,0.297,2.452,0.404,3.677,0.431
202,"Prairie Warbler","prawar","Parulidae","Scrub","Foliage Gleaner",2022,0.661,-82.361,35.306,2.293,0.29,2.741,0.227,2.206,0.341,3.163,0.355
203,"Cerulean Warbler","cerwar","Parulidae","Forests","Foliage Gleaner",2022,0.667,-82.232,38.54,2.196,0.146,2.769,0.115,2.271,0.166,4.031,0.176
204,"Acadian Flycatcher","acafly","Tyrannidae","Forests","Flycatcher",2022,0.686,-83.647,36.453,2.531,0.296,3.029,0.234,2.434,0.346,3.672,0.363
205,"Pine Warbler","pinwar","Parulidae","Forests","Bark Forager",2022,0.69,-82.162,35.22,2.4,0.278,2.884,0.234,2.321,0.32,3.229,0.338
206,"Carolina Wren","carwre","Troglodytidae","Open Woodlands","Ground Forager",2022,0.697,-83.047,35.183,2.316,0.349,2.751,0.28,2.223,0.413,3.133,0.425
207,"Red-cockaded Woodpecker","recwoo","Picidae","Open Woodlands","Bark Forager",2022,0.712,-82.532,31.923,2.852,0.099,3.464,0.088,2.742,0.109,3.054,0.121
208,"Swainson's Warbler","swawar","Parulidae","Forests","Ground Forager",2022,0.713,-85.248,33.667,2.459,0.21,2.85,0.16,2.315,0.229,3.24,0.231
209,"Blue-winged Warbler","buwwar","Parulidae","Open Woodlands","Foliage Gleaner",2022,0.715,-82.363,39.979,2.418,0.313,3.063,0.294,2.469,0.369,4.159,0.417
210,"Tufted Titmouse","tuftit","Paridae","Forests","Foliage Gleaner",2022,0.722,-82.91,36.566,2.399,0.329,2.914,0.273,2.357,0.387,3.592,0.407
211,"Wood Thrush","woothr","Turdidae","Forests","Ground Forager",2022,0.728,-82.131,38.862,2.509,0.29,3.159,0.25,2.537,0.338,4.176,0.363
212,"Fish Crow","fiscro","Corvidae","Riparian","Generalist",2022,0.796,-80.777,33.257,2.05,0.389,2.401,0.372,1.932,0.456,2.584,0.492
213,"Chimney Swift","chiswi","Apodidae","Urban","Aerial Insectivore",2022,0.831,-82.686,36.623,2.151,0.417,2.558,0.35,2.065,0.5,3.077,0.512
214,"Eastern Towhee","eastow","Passerellidae","Scrub","Ground Forager",2022,0.854,-82.632,37.175,2.503,0.299,3.088,0.251,2.5,0.352,3.856,0.371
215,"Brown-headed Nuthatch","bnhnut","Sittidae","Forests","Bark Forager",2022,0.875,-83.141,33.053,2.545,0.302,2.934,0.245,2.356,0.343,2.671,0.351
216,"Bachman's Sparrow","bacspa","Passerellidae","Open Woodlands","Ground Forager",2022,0.935,-82.545,30.619,2.41,0.205,2.893,0.189,2.483,0.244,2.944,0.27
217,"Saltmarsh Sparrow","sstspa","Passerellidae","Marshes","Ground Forager",2022,0.987,-74.115,39.112,1.144,0.203,1.352,0.195,1.028,0.263,1.426,0.276
218,"Florida Scrub-Jay","flsjay","Corvidae","Scrub","Ground Forager",2022,1,-81.623,28.554,1.712,0.261,2.199,0.235,1.935,0.31,2.751,0.332
